emotion1,агрессия,безмятежность,восторг,восхищение,гнев,горе,грусть,доверие,досада,злость,изумление,интерес,любовь,настороженность,неудовольствие,ожидание,оптимизм,отвращение,печаль,покорность,презрение,принятие,радость,разочарование,раскаяние,растерянность,скука,страх,тревога,трепет,удивление,ужас
агрессия,0.822,0.491,0.557,0.552,0.65,0.584,0.579,0.476,0.661,0.764,0.567,0.525,0.576,0.518,0.594,0.56,0.532,0.563,0.606,0.483,0.592,0.52,0.565,0.575,0.494,0.605,0.561,0.65,0.651,0.549,0.586,0.615
безмятежность,0.491,0.936,0.661,0.653,0.533,0.641,0.653,0.652,0.629,0.554,0.633,0.504,0.656,0.597,0.625,0.728,0.677,0.566,0.621,0.696,0.63,0.72,0.774,0.68,0.6,0.596,0.631,0.529,0.648,0.565,0.655,0.558
восторг,0.557,0.661,0.77,0.74,0.616,0.594,0.585,0.567,0.595,0.59,0.696,0.603,0.661,0.494,0.519,0.642,0.696,0.482,0.584,0.518,0.526,0.545,0.772,0.616,0.561,0.61,0.547,0.612,0.612,0.662,0.729,0.664
восхищение,0.552,0.653,0.74,0.793,0.584,0.667,0.599,0.656,0.616,0.594,0.768,0.59,0.674,0.608,0.615,0.71,0.583,0.554,0.607,0.608,0.628,0.613,0.717,0.708,0.667,0.643,0.532,0.549,0.668,0.641,0.834,0.612
гнев,0.65,0.533,0.616,0.584,0.687,0.603,0.575,0.523,0.673,0.77,0.574,0.573,0.596,0.541,0.655,0.61,0.622,0.526,0.588,0.565,0.619,0.565,0.567,0.634,0.556,0.588,0.535,0.635,0.648,0.644,0.604,0.641
горе,0.584,0.641,0.594,0.667,0.603,0.833,0.746,0.597,0.741,0.631,0.633,0.562,0.608,0.589,0.714,0.698,0.549,0.628,0.772,0.576,0.673,0.598,0.609,0.854,0.692,0.622,0.71,0.661,0.768,0.525,0.68,0.722
грусть,0.579,0.653,0.585,0.599,0.575,0.746,0.969,0.508,0.882,0.662,0.547,0.546,0.715,0.551,0.699,0.714,0.606,0.547,0.932,0.621,0.677,0.562,0.627,0.793,0.649,0.659,0.844,0.597,0.682,0.591,0.585,0.653
доверие,0.476,0.652,0.567,0.656,0.523,0.597,0.508,0.812,0.545,0.537,0.613,0.563,0.698,0.607,0.57,0.627,0.654,0.525,0.511,0.628,0.599,0.778,0.622,0.639,0.623,0.528,0.485,0.457,0.579,0.52,0.66,0.486
досада,0.661,0.629,0.595,0.616,0.673,0.741,0.882,0.545,0.965,0.792,0.571,0.575,0.7,0.61,0.815,0.734,0.637,0.645,0.861,0.627,0.746,0.611,0.635,0.836,0.67,0.732,0.812,0.618,0.741,0.658,0.629,0.648
злость,0.764,0.554,0.59,0.594,0.77,0.631,0.662,0.537,0.792,0.849,0.584,0.534,0.676,0.549,0.69,0.623,0.597,0.586,0.676,0.585,0.655,0.586,0.623,0.664,0.565,0.659,0.631,0.638,0.681,0.603,0.614,0.621
