emotion1,агрессия,безмятежность,восторг,восхищение,гнев,горе,грусть,доверие,досада,злость,изумление,интерес,любовь,настороженность,неудовольствие,ожидание,оптимизм,отвращение,печаль,покорность,презрение,принятие,радость,разочарование,раскаяние,растерянность,скука,страх,тревога,трепет,удивление,ужас
агрессия,0.124,0.06,0.04,0.042,0.081,0.057,0.095,0.047,0.116,0.082,0.028,0.058,0.08,0.083,0.093,0.081,0.072,0.059,0.082,0.086,0.076,0.074,0.044,0.08,0.058,0.054,0.073,0.035,0.05,0.068,0.037,0.047
безмятежность,0.06,0.062,0.036,0.032,0.048,0.041,0.019,0.038,0.024,0.051,0.03,0.061,0.058,0.033,0.038,0.019,0.033,0.036,0.025,0.016,0.011,0.043,0.069,0.03,0.027,0.047,0.029,0.037,0.04,0.032,0.032,0.026
восторг,0.04,0.036,0.032,0.065,0.05,0.047,0.035,0.046,0.023,0.057,0.061,0.103,0.063,0.044,0.022,0.048,0.057,0.062,0.045,0.045,0.029,0.071,0.061,0.029,0.051,0.03,0.032,0.056,0.044,0.027,0.048,0.061
восхищение,0.042,0.032,0.065,0.152,0.046,0.052,0.024,0.055,0.032,0.056,0.055,0.049,0.04,0.046,0.033,0.047,0.014,0.044,0.045,0.027,0.023,0.049,0.069,0.043,0.082,0.048,0.023,0.049,0.025,0.059,0.058,0.038
гнев,0.081,0.048,0.05,0.046,0.082,0.045,0.047,0.038,0.039,0.062,0.066,0.059,0.074,0.06,0.037,0.059,0.082,0.056,0.047,0.073,0.032,0.048,0.052,0.04,0.052,0.021,0.029,0.053,0.049,0.04,0.041,0.056
горе,0.057,0.041,0.047,0.052,0.045,0.027,0.073,0.028,0.07,0.051,0.062,0.031,0.045,0.06,0.079,0.054,0.043,0.052,0.066,0.046,0.073,0.043,0.077,0.057,0.038,0.053,0.057,0.059,0.047,0.036,0.04,0.056
грусть,0.095,0.019,0.035,0.024,0.047,0.073,0.037,0.041,0.029,0.062,0.04,0.03,0.022,0.044,0.042,0.028,0.03,0.05,0.04,0.005,0.008,0.028,0.048,0.024,0.041,0.021,0.024,0.076,0.047,0.029,0.018,0.037
доверие,0.047,0.038,0.046,0.055,0.038,0.028,0.041,0.088,0.035,0.027,0.057,0.041,0.05,0.052,0.036,0.054,0.021,0.052,0.05,0.033,0.012,0.048,0.073,0.039,0.062,0.066,0.016,0.024,0.042,0.075,0.04,0.029
досада,0.116,0.024,0.023,0.032,0.039,0.07,0.029,0.035,0.022,0.05,0.044,0.026,0.028,0.05,0.032,0.033,0.01,0.047,0.051,0.022,0.005,0.026,0.026,0.033,0.022,0.038,0.02,0.06,0.054,0.033,0.024,0.032
злость,0.082,0.051,0.057,0.056,0.062,0.051,0.062,0.027,0.05,0.04,0.069,0.056,0.045,0.056,0.036,0.05,0.063,0.055,0.062,0.04,0.044,0.036,0.049,0.045,0.035,0.045,0.038,0.046,0.046,0.033,0.056,0.061
