,word,valence_1,arousal_1,valence_2,arousal_2,valence_3,arousal_3,valence_4,arousal_4,valence_5,arousal_5,valence_6,arousal_6
0,антипатия,2,7,2,6,2,6,2,6,2,6,2,6
1,апатия,4,6,4,3,3,2,3,2,4,3,4,3
2,азарт,7,8,7,9,7,9,7,9,7,9,7,9
3,ажиотаж,6,8,6,8,6,8,6,8,6,8,6,8
4,бешенство,1,10,1,9,1,9,1,9,1,9,1,9
5,беспамятство,3,5,3,8,3,8,3,8,3,8,3,8
6,беспокойство,3,7,3,6,3,6,3,6,3,6,3,6
7,безнадежность,2,8,2,5,2,6,2,6,2,5,2,6
8,безысходность,1,8,2,6,2,7,2,7,2,6,2,7
9,благодарность,9,7,8,6,8,5,8,5,8,6,8,6
10,блаженство,10,9,9,7,10,7,10,8,9,7,9,7
11,досада,3,6,4,5,4,5,3,5,4,5,3,5
12,доверие,8,7,7,4,7,4,7,4,7,4,7,5
13,экстаз,10,10,10,9,10,9,10,9,10,9,10,9
14,экзальтация,9,9,8,8,8,8,8,8,8,8,8,8
15,гнев,1,9,1,8,1,8,1,8,1,8,1,8
16,гордость,8,7,7,6,7,6,7,6,7,6,7,6
17,горечь,2,7,2,5,2,5,2,5,2,5,2,5
18,грусть,3,7,3,5,3,5,3,5,3,5,3,5
19,испуг,2,8,2,7,2,7,2,7,2,7,2,7
20,изумление,5,8,5,8,5,8,5,8,5,8,5,8
21,ярость,1,10,1,9,1,9,1,9,1,9,1,9
22,конфуз,3,6,3,5,3,5,3,5,3,5,3,5
23,любовь,10,10,10,8,10,8,10,8,10,8,10,8
24,меланхолия,4,7,4,4,4,4,4,4,4,4,4,4
25,мучение,2,8,2,7,2,7,2,7,2,7,2,7
26,надрыв,2,7,3,8,3,8,3,8,3,8,3,8
27,наслаждение,9,8,9,8,9,8,9,8,9,8,9,8
28,недоумение,4,6,5,6,4,6,4,6,5,6,5,6
29,недовольство,3,6,4,5,4,5,3,5,4,5,3,5
30,негодование,2,7,2,7,2,7,2,7,2,7,2,7
31,неистовство,2,9,3,9,2,9,1,9,2,9,1,9
32,неловкость,3,5,4,5,4,5,3,5,4,5,4,5
33,ненависть,1,8,1,8,1,8,1,8,1,8,1,8
34,неприятность,2,5,3,5,3,5,3,5,3,5,3,5
35,нерешительность,4,6,4,5,4,5,4,5,4,5,4,5
36,нетерпение,3,7,5,7,5,7,4,7,5,7,4,7
37,недовольствие,3,6,4,5,4,5,3,5,4,5,3,5
38,неуверенность,4,6,4,5,4,5,4,5,4,5,4,5
39,нежелание,3,5,4,5,4,5,3,5,4,5,3,5
40,обида,2,6,3,6,3,6,3,6,3,6,3,6
41,облегчение,7,6,7,6,7,6,7,6,7,6,7,6
42,огорчение,3,6,3,5,3,5,3,5,3,5,3,5
43,омерзение,1,7,2,6,2,6,2,6,2,6,2,6
44,опасение,3,6,3,6,3,6,3,6,3,6,3,6
45,отчаяние,1,8,2,7,2,7,2,7,2,7,2,7
46,оторопь,2,6,3,7,3,7,3,7,3,7,3,7
47,отвращение,1,7,2,6,2,6,2,6,2,6,2,6
48,ожесточение,2,7,2,7,2,7,2,7,2,7,2,7
49,озлобление,2,7,2,7,2,7,2,7,2,7,2,7
50,паника,1,9,1,9,2,9,2,9,2,9,2,9
51,печаль,3,6,3,5,3,5,3,5,3,5,3,5
52,переживание,3,7,4,6,3,6,3,6,4,6,3,6
53,потрясение,5,8,5,8,4,8,4,8,5,8,5,8
54,презрение,2,6,2,6,2,6,2,6,2,6,2,6
55,прискорбие,3,6,3,5,3,6,3,5,3,5,3,6
56,признательность,8,7,8,6,8,6,8,6,8,6,8,6
57,радость,10,9,9,8,9,8,9,8,9,8,9,8
58,раскаяние,4,6,4,6,4,6,4,6,4,6,4,6
59,растерянность,4,6,4,6,4,6,4,6,4,6,4,6
60,раздражение,2,7,3,6,3,6,3,6,3,6,3,6
61,раж,7,9,7,9,7,9,7,9,7,9,7,9
62,разочарование,3,7,4,6,4,6,3,6,4,6,3,6
63,ревность,3,7,4,7,4,7,4,7,4,7,4,7
64,счастье,10,10,10,8,10,8,10,8,10,8,10,8
65,симпатия,8,6,7,5,7,5,7,5,7,5,7,5
66,скорбь,2,7,2,6,2,6,2,6,2,6,2,6
67,скука,3,5,4,4,4,4,4,3,4,4,4,4
68,смятение,4,7,4,7,4,7,4,7,4,7,4,7
69,смущение,4,6,4,5,4,5,4,5,4,5,4,5
70,сочувствие,8,7,7,6,7,5,7,5,7,6,7,6
71,сострадание,8,7,7,6,7,6,6,5,7,6,6,6
72,сожаление,4,6,4,5,4,5,4,5,4,5,4,5
73,спокойствие,7,5,5,2,5,2,5,2,5,2,5,2
74,страдание,2,8,2,6,2,6,2,6,2,6,2,6
75,страх,2,8,2,7,2,7,2,7,2,7,2,7
76,страсть,8,9,8,9,8,9,8,9,8,9,8,9
77,стыд,2,7,3,6,3,6,3,6,3,6,3,6
78,тоска,3,7,3,5,3,5,3,5,3,5,3,5
79,трепет,5,8,5,8,5,8,5,8,5,8,5,8
80,тревога,3,7,3,6,3,6,3,6,3,6,3,6
81,удивление,5,7,5,7,5,7,5,7,5,7,5,7
82,удовлетворение,8,6,8,6,8,6,8,6,8,6,8,6
83,удовольствие,9,7,9,7,9,7,9,7,9,7,9,7
84,умиление,8,6,8,6,8,6,8,6,8,6,8,6
85,уныние,3,7,3,5,3,5,3,5,3,5,3,5
86,упоение,9,8,9,8,9,8,9,8,9,8,9,8
87,утешение,7,6,7,6,7,5,7,5,7,6,7,6
88,уважение,8,6,8,5,8,5,8,5,8,5,8,5
89,увлечение,8,7,8,7,8,7,8,7,8,7,8,7
90,ужас,1,9,1,9,1,9,1,9,1,9,1,9
91,влюбленность,10,9,9,8,9,8,9,8,9,8,9,8
92,волнение,5,7,5,7,5,7,5,7,5,7,5,7
93,восхищение,9,8,9,8,9,8,9,8,9,8,9,8
94,восторг,10,9,10,9,10,9,10,9,10,9,10,9
95,возбуждение,7,8,7,8,7,8,7,8,7,8,7,8
96,возмущение,2,7,1,8,1,8,1,8,1,8,1,8
97,забытие,5,6,6,7,6,7,6,7,6,7,6,7
98,задор,8,7,8,8,8,8,8,8,8,8,8,8
99,задумчивость,4,6,5,4,5,4,5,4,5,4,5,4
100,замешательство,4,6,4,6,4,6,4,6,4,6,4,6
101,зависть,3,7,4,6,4,7,3,6,3,7,3,6
102,жалость,7,6,3,5,3,5,6,5,4,5,6,5
103,желание,8,7,7,7,7,7,7,7,7,7,7,7
104,злоба,2,7,1,8,1,8,1,8,1,8,1,8
105,злорадство,3,6,2,6,2,6,2,6,2,6,2,6
